timestamp,document,total_tokens,num_chunks,avg_chunk_size,max_chunk_size,min_chunk_size,tokenization_time,chunking_time
2024-09-12T22:45:30.525854,chunks,document,Biosafety_Guidance.txt
2024-09-13T14:58:35.941460,chunks,total_words,4295
2024-09-13T14:58:35.941460,chunks,num_chunks,10
2024-09-13T14:58:35.941460,chunks,avg_chunk_size,3527.2
2024-09-13T14:58:35.941460,chunks,max_chunk_size,5148
2024-09-13T14:58:35.941460,chunks,min_chunk_size,1730
2024-09-13T14:58:35.941460,chunks,document,Biosafety_Guidance.txt
2024-09-13T15:08:25.386614,chunks,total_words,4295
2024-09-13T15:08:25.386614,chunks,num_chunks,10
2024-09-13T15:08:25.386614,chunks,avg_chunk_size,3527.2
2024-09-13T15:08:25.386614,chunks,max_chunk_size,5148
2024-09-13T15:08:25.386614,chunks,min_chunk_size,1730
2024-09-13T15:08:25.386614,chunks,document,Biosafety_Guidance.txt
2024-09-13T15:15:21.601701,chunks,total_words,4295
2024-09-13T15:15:21.601701,chunks,num_chunks,10
2024-09-13T15:15:21.601701,chunks,avg_chunk_size,3527.2
2024-09-13T15:15:21.601701,chunks,max_chunk_size,5148
2024-09-13T15:15:21.601701,chunks,min_chunk_size,1730
2024-09-13T15:15:21.601701,chunks,document,Biosafety_Guidance.txt
2024-09-13T15:18:38.059076,chunks,total_words,4295
2024-09-13T15:18:38.059076,chunks,num_chunks,10
2024-09-13T15:18:38.059076,chunks,avg_chunk_size,3527.2
2024-09-13T15:18:38.059076,chunks,max_chunk_size,5148
2024-09-13T15:18:38.059076,chunks,min_chunk_size,1730
2024-09-13T15:18:38.059076,chunks,document,Biosafety_Guidance.txt
2024-09-13T16:18:03.570218,embeddings,num_embeddings,10
2024-09-13T16:18:03.570218,embeddings,embedding_dimension,1536
2024-09-13T16:18:03.570218,embeddings,embedding_generation_start_time,1726258651.9939475
2024-09-13T16:18:03.570218,embeddings,embedding_generation_end_time,1726258683.5702183
2024-09-13T16:18:03.570218,embeddings,embedding_generation_time,31.576270818710327
2024-09-13T16:19:20.252222,chunks,total_words,4295
2024-09-13T16:19:20.252222,chunks,num_chunks,10
2024-09-13T16:19:20.252222,chunks,avg_chunk_size,3527.2
2024-09-13T16:19:20.252222,chunks,max_chunk_size,5148
2024-09-13T16:19:20.252222,chunks,min_chunk_size,1730
2024-09-13T16:19:20.252222,chunks,document,Biosafety_Guidance.txt
2024-09-13T18:19:52.893815,chunks,total_words,4295
2024-09-13T18:19:52.893815,chunks,num_chunks,10
2024-09-13T18:19:52.893815,chunks,avg_chunk_size,3527.2
2024-09-13T18:19:52.893815,chunks,max_chunk_size,5148
2024-09-13T18:19:52.893815,chunks,min_chunk_size,1730
2024-09-13T18:19:52.893815,chunks,document,Biosafety_Guidance.txt
2024-09-13T18:41:14.938633,embeddings,num_embeddings,10
2024-09-13T18:41:14.938633,embeddings,embedding_dimension,1536
2024-09-13T18:41:14.938633,embeddings,embedding_generation_start_time,1726267267.7065547
2024-09-13T18:41:14.938633,embeddings,embedding_generation_end_time,1726267269.7098386
2024-09-13T18:41:14.938633,embeddings,embedding_generation_time,2.003283977508545
2024-09-13T18:43:57.784460,chunks,total_words,4295
2024-09-13T18:43:57.784460,chunks,num_chunks,10
2024-09-13T18:43:57.784460,chunks,avg_chunk_size,3527.2
2024-09-13T18:43:57.784460,chunks,max_chunk_size,5148
2024-09-13T18:43:57.784460,chunks,min_chunk_size,1730
